"dname"	"task"	"irep"	"kfname"	"acc"	"label"
"280"	"eubm"	"age"	30	"dot_wken_hb_add"	0.63	"add weight (hb)"
"281"	"eubm"	"age"	31	"dot_wken_hb_add"	0.67	"add weight (hb)"
"282"	"eubm"	"age"	32	"dot_wken_hb_add"	0.66	"add weight (hb)"
"283"	"eubm"	"age"	33	"dot_wken_hb_add"	0.54	"add weight (hb)"
"284"	"eubm"	"age"	34	"dot_wken_hb_add"	0.74	"add weight (hb)"
"285"	"eubm"	"age"	35	"dot_wken_hb_add"	0.62	"add weight (hb)"
"286"	"eubm"	"age"	36	"dot_wken_hb_add"	0.72	"add weight (hb)"
"287"	"eubm"	"age"	37	"dot_wken_hb_add"	0.73	"add weight (hb)"
"288"	"eubm"	"age"	38	"dot_wken_hb_add"	0.7	"add weight (hb)"
"289"	"eubm"	"age"	39	"dot_wken_hb_add"	0.64	"add weight (hb)"
"290"	"eubm"	"age"	40	"dot_wken_hb_add"	0.6	"add weight (hb)"
"291"	"eubm"	"age"	41	"dot_wken_hb_add"	0.51	"add weight (hb)"
"292"	"eubm"	"age"	42	"dot_wken_hb_add"	0.66	"add weight (hb)"
"293"	"eubm"	"age"	43	"dot_wken_hb_add"	0.62	"add weight (hb)"
"294"	"eubm"	"age"	44	"dot_wken_hb_add"	0.64	"add weight (hb)"
"295"	"eubm"	"age"	45	"dot_wken_hb_add"	0.65	"add weight (hb)"
"296"	"eubm"	"age"	46	"dot_wken_hb_add"	0.54	"add weight (hb)"
"297"	"eubm"	"age"	47	"dot_wken_hb_add"	0.57	"add weight (hb)"
"298"	"eubm"	"age"	48	"dot_wken_hb_add"	0.65	"add weight (hb)"
"299"	"eubm"	"age"	49	"dot_wken_hb_add"	0.65	"add weight (hb)"
"300"	"eubm"	"age"	50	"dot_wken_hb_add"	0.61	"add weight (hb)"
"301"	"eubm"	"age"	1	"dot_wken_hb_mult"	0.55	"mult weight (hb)"
